Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Method,"org.example.MainTest.main",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,2,0,1,2,3,2,1,1,,,0,,,"0,00",1
Package,"org.example.cardstudy",5,0,5,0,1,,,,,,,,,7,2,2,,7,,41,8,43,,12,2,0,29,,296,52,244,117,94,0,,110,168,97,88,,3,,2,,,"0,00",50
Public Class,"org.example.cardstudy.Box",3,0,3,0,1,,,,,1,3,3,0,,0,0,,,,8,1,8,8,0,0,0,8,,29,2,27,12,9,0,,10,19,12,9,,1,1,0,13,13,"0,00",8
Public Constructor,"org.example.cardstudy.Box.Box",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,1,1,0,1,,,0,,,"0,00",1
Public Constructor,"org.example.cardstudy.Box.Box",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,2,1,1,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Box.addCard",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,2,1,1,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Box.getCards",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,2,1,1,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Box.getRandomCard",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,3,3,0,4,3,4,3,3,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Box.hasCard",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,2,1,2,1,1,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Box.removeCard",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,2,1,1,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Box.setCards",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,2,1,1,1,,,0,,,"0,00",1
Public Class,"org.example.cardstudy.Card",3,0,3,0,1,,,,,1,1,1,0,,0,0,,,,6,2,6,6,0,0,0,6,,29,6,23,9,8,0,,10,17,9,8,,1,1,0,50,33,"0,00",6
Public Constructor,"org.example.cardstudy.Card.Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,2,3,1,2,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Card.edit",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,2,2,3,1,2,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Card.getAnswer",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,2,1,1,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Card.getQuestion",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,2,1,1,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Card.setAnswer",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,2,1,1,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.Card.setQuestion",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,2,1,1,1,,,0,,,"0,00",1
Public Class,"org.example.cardstudy.CardManager",5,0,5,0,2,,,,,1,8,8,0,,1,1,,,,8,2,9,9,0,2,0,7,,60,10,50,17,25,0,,21,37,18,23,,3,1,2,67,63,"0,00",14
Private Constructor,"org.example.cardstudy.CardManager.CardManager",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,2,1,1,1,,,0,,,"0,00",1
Public Method,"org.example.cardstudy.CardManager.addCard",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,2,5,0,4,4,6,2,5,2,,,1,,,"0,00",2
